"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.4565",6.2647482381462,-0.723425552058606,-0.665128229556746,0.294313706252169,-0.189838737045714,-0.572743776488272,-0.326712836385769,-0.128205011264,-0.120687061715263,-0.11157894451413,-0.00255186859720019,0.124264051944248,0.979524425153159,-2.78926988663403,-3.69485883907162,-4.21196051548799,-6.66907138472823,-3.3056161715211,-6.50892595508665,8.30657429250661,-5.50203958653789,3.10558132969187,-3.42868359031079,-5.53589141734759,-4.22253180192985e-07
"boot_params.4566",6.57257149822662,-0.66197719615764,-0.323584435611276,0.0290472075954453,-0.318304536474601,-0.135347610974512,-0.337252662039085,-0.236626282250869,-0.0139070122713091,-0.000363310091336947,0.2175824647797,0.137010415902135,0.799170394641238,-3.44248195474409,-4.06565405298763,-4.48534081564912,-8.05712260914487,-3.86635313036677,-7.04085975122779,8.57459421640793,-5.83794641668084,3.39491461857894,-3.86514029006271,-5.8735583364537,-4.47003812342002e-07
"boot_params.4567",6.99757491609191,-0.671135810875053,-0.560086049860148,-0.0148103619129136,-0.266486023573257,-0.325063332955087,-0.236768377077139,-0.295928962575348,-0.0557651406217486,-0.0915997141895587,0.0510828461222757,0.12153508573274,0.907299937852255,-3.14999499147931,-4.47899729175557,-4.93471876453654,-7.17329680451828,-3.91332005451154,-7.51445624687234,9.52190534477526,-6.14747382237862,3.55436032420107,-4.21063316018814,-6.04325810669635,-4.9981390948334e-07
"boot_params.4568",4.9983503157135,-0.989087697672781,-0.908373639987836,-0.163408085139079,-0.54806838610379,-0.592609227739048,-0.351801073244098,-0.308511655812386,-0.112771489334584,-0.202270092371667,-0.123635499335093,-0.0623627045185112,0.820447167388303,-1.74609777151859,-2.38149828072946,-3.13571906856531,-5.39736843696016,-2.30612782766268,-4.78836212721477,5.31690905316821,-3.8692687911618,2.19089155863746,-2.40472594853843,-4.11018551090593,-2.47213812379767e-07
"boot_params.4569",4.84565085292993,-0.510157582254393,-0.515166778195957,0.183533955469596,-0.218261434932952,-0.414112569187196,-0.134950032795982,0.138753139660184,0.137671612857112,-0.0169625525753048,0.14191665153219,0.102245549079795,0.738246603033246,-1.96199770789752,-2.68879547762042,-3.03148848124126,-5.22775785594523,-2.39612956899127,-4.98428632693269,5.73855452984242,-4.26935400479082,2.13841221685603,-2.56249210430993,-4.15123240526867,-2.61693567838425e-07
"boot_params.4570",3.91311440568487,-0.924395055604406,-0.951646633490959,0.0958241645269605,-0.214349292346686,-0.51471427481713,-0.295349549487542,0.0446418942630596,-0.0159748548348123,0.0115725723253225,-0.0266904938970728,0.24794151250446,0.771433418453997,-1.15231616693587,-2.07071902409289,-2.13731979857468,-5.16281195442783,-1.49486146564312,-3.90071775523198,3.66501308027214,-3.08907544035695,1.40734343091457,-1.64380936768956,-2.94116392256998,-1.40492168664495e-07
"boot_params.4571",5.55358227281957,-0.597626235694412,-0.49452645720942,0.0320009417934426,-0.178462594904553,-0.379417084018797,-0.388537321705355,-0.199735815176667,-0.184214436952871,-0.10926043814857,0.0312667825968691,0.159517505329293,0.99559945803561,-2.08823078560842,-3.12239529569962,-3.45966343914557,-5.81079885833982,-2.79391811839514,-5.4535885472891,6.95073615923211,-4.8538655603502,2.63635926761955,-3.05951417766445,-4.54262679608653,-3.36121444440498e-07
"boot_params.4572",5.42658289091041,-0.613254572235213,-0.840027257351338,0.0293848832546209,-0.175848050916701,-0.603733116483173,-0.265300664980817,-0.193914901492304,-0.138401427879728,-0.184374530805382,0.0689879060096881,0.153759566807482,0.918332375690553,-2.35945982630061,-2.90990012864242,-3.63204489138254,-6.27769368934391,-2.71805979357427,-5.58449236087453,6.66314018533757,-4.76377359241194,2.62782079338471,-3.07655377417073,-4.99101577968846,-3.20104899415888e-07
"boot_params.4573",5.25320824933968,-0.661810517996907,-0.664326752941851,0.019100375692035,-0.103062551647512,-0.704269860957159,-0.435714881904189,-0.0167273335019343,0.0912234186515065,-0.116531941134103,0.164953122626795,0.196945226605477,0.870918901661745,-2.21860865798629,-2.91817627359384,-3.21348788389192,-5.53155966186675,-2.67521766694017,-5.55239135656899,6.58988872585639,-4.465421411795,2.59670777401112,-2.81971458199062,-4.32966498791385,-3.06492314078838e-07
"boot_params.4574",6.72903970299273,-0.809837430476801,-0.982530755991231,-0.222522832579702,-0.56846874494586,-0.559854803660858,-0.445346879085798,-0.321657577408282,-0.278805726718155,-0.212738965201469,-0.203971527841824,-0.105057354806788,0.99425298384894,-2.99360050687603,-3.84220933099279,-4.36459787145851,-6.53255402141617,-3.62298479955006,-6.75832087803183,8.71795627753192,-5.45338308450146,3.26363965420575,-3.74070333988522,-5.72631513830175,-4.49648331666962e-07
"boot_params.4575",4.67673353449036,-0.702035397571963,-0.473468757953111,-0.318432471997747,-0.437119997777171,-0.484060244488889,-0.450875235153486,-0.152582955416146,0.0603879859044357,-0.123293485890259,0.0516017818830103,0.0430060560123311,0.772374221739209,-1.81836696685571,-2.27852164758977,-2.71616941380503,-4.66063028650052,-2.16128212683752,-4.47107864315647,5.16699462045431,-3.83747470818053,2.0897580683345,-2.2011792775057,-3.817755282092,-2.25714294385083e-07
"boot_params.4576",2.17825141389149,-0.783458213060976,-0.654395036151603,-0.0627403007536163,-0.229735837115182,-0.720924132581281,-0.397364766071462,-0.0518531211196085,-0.14698204710026,-0.144425375970055,-0.0138871413335624,0.0029908041001713,0.751289190455134,0.160060870781277,-0.415184093372282,-0.536025612483883,-2.48609570967213,-0.0662019224379844,-1.97195756665774,0.457702810379566,-1.45969132681522,0.304863704191619,-0.373948539377402,-1.20112130243817,6.76755857959074e-08
"boot_params.4577",6.80375105003503,-0.778584780967788,-0.627559309583987,0.115883258268112,-0.337681563156599,-0.606683225684713,-0.428761155786762,-0.0316814633316284,0.0213715881054689,-0.079888521207603,0.114874704670321,0.136866336425463,0.840710697812414,-3.19200992097588,-4.09056692047667,-4.84512139427665,-6.67510305883462,-3.71298390453126,-7.09186857075284,8.77273210113984,-5.92615620828117,3.43018362669508,-4.06246282035774,-6.05035096762123,-4.75290793203691e-07
"boot_params.4578",6.28009671687095,-0.80105650438502,-0.568281386432189,0.137173671361419,-0.191081669582479,-0.417056515112016,-0.207476352314693,-0.043085166294175,0.121533209598533,-0.15099552721208,0.213035008303042,0.210491195649983,0.75068517422172,-3.02666275310359,-3.7856218838853,-4.26609233647206,-6.7196028004889,-3.6632195618083,-6.67581886489281,8.00207461100286,-5.23111110856529,2.84588319946146,-3.60974989471487,-5.34451613334605,-4.09943256678053e-07
