"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.3624",2.99492962318248,-0.715943117710345,-0.636935278920097,0.0624086415390138,-0.317116514439895,-0.562347427783869,-0.389265928658901,-0.086013943380346,-0.054552199270868,-0.106368268496293,0.00724841810122746,0.0806806425715419,0.651435949019205,-0.461311324680467,-0.976193776217087,-1.30057785366394,-3.39298366262174,-0.841755028927197,-3.00603298262707,1.68788070937806,-2.19546425888363,0.723532399299882,-1.0952148559437,-2.17014515142254,-2.16654671805776e-08
"boot_params.3625",3.57570591892642,-0.727822825575934,-0.671722567303978,0.0448186141139644,-0.337501064510083,-0.576884848265289,-0.397543944295525,-0.108621676762518,-0.0598952645780568,-0.130091697289077,0.00505356389815997,0.0684201776300619,0.715861926585464,-0.85903004642053,-1.43322690530424,-1.81709747612229,-3.95712853677422,-1.28872014263931,-3.57177826240364,2.8682435412137,-2.74517178469732,1.17841169849851,-1.50925018204111,-2.73150576198178,-9.1805911731093e-08
"boot_params.3626",4.06162820484542,-0.746230138119673,-0.664637259257126,0.0383707698132051,-0.320992260754977,-0.553287347173307,-0.395221072575487,-0.114685703867705,-0.0430876715248318,-0.121575399196778,-0.0108055148566725,0.0844477364625381,0.757710891361779,-1.2387506980798,-1.8626767506878,-2.22333242958377,-4.4448729942255,-1.68925876421813,-4.05024576386224,3.87820067189538,-3.23382703857316,1.53802774868604,-1.86992246749847,-3.2117236199312,-1.51902941107114e-07
"boot_params.3627",3.34175717310676,-0.712964843947045,-0.646060959078621,0.0686807228436035,-0.308093910076761,-0.560459421717189,-0.379885050813389,-0.0847965676237967,-0.0542829759632578,-0.0974058533982829,0.0235263591917033,0.0913890895796934,0.683441147071022,-0.724366591118752,-1.27641736767005,-1.62007730656061,-3.73290141369905,-1.11294156672144,-3.35839117885818,2.37473655640214,-2.53315650177508,0.990364908398984,-1.36946918022079,-2.52570674651855,-6.40926599583703e-08
"boot_params.3628",2.88213139017357,-0.71708835014423,-0.637929610937296,0.0660928846859284,-0.314372561379871,-0.565376124644505,-0.388301275578087,-0.0832636854200908,-0.0515300219214109,-0.106126069147137,0.00368193145535567,0.0834009450877803,0.644306210500202,-0.376621572653781,-0.881322549442969,-1.20353700614035,-3.28241061144766,-0.748131182148771,-2.90010428833554,1.48189268799057,-2.08979251657352,0.648900559922209,-1.0141258118236,-2.059732185767,-8.59374801241549e-09
"boot_params.3629",3.03092269975111,-0.715990569697474,-0.633226602863925,0.0660958646533494,-0.315227363754979,-0.563592599908527,-0.387479780598655,-0.0895470917213968,-0.0465441569310845,-0.10497743585038,0.000464724387137973,0.0796270523561243,0.657646565188994,-0.485079966120457,-1.00414708967515,-1.33337259563973,-3.42518453065302,-0.867111734958714,-3.0480781330004,1.78339336952692,-2.23148860160632,0.763146697885319,-1.12113670198944,-2.20937251499558,-2.67580750649162e-08
"boot_params.3630",3.85621081920086,-0.715953412671335,-0.621908655077698,0.0707288907262199,-0.310737242086602,-0.557398232238468,-0.329193847106374,-0.075998066691811,-0.0479193902308451,-0.0760417794607397,0.0405499916477307,0.116776952948718,0.727854212132435,-1.10832220693589,-1.69447542164113,-2.07106636083953,-4.2568401676749,-1.52351675241606,-3.88272986445127,3.41053341516007,-3.04970246350365,1.37443324407003,-1.77141564169413,-3.02943777717574,-1.27247470210534e-07
"boot_params.3631",3.87803698690687,-0.702609940265015,-0.639047094884802,0.0640407580306728,-0.323541404145477,-0.521219954996547,-0.362171581852046,-0.0660734931651445,-0.0453799106448425,-0.0843488379526392,0.0402924150900911,0.0868431076815251,0.737974807682816,-1.10035608757532,-1.71128840619524,-2.08979690571338,-4.26817164918841,-1.53448593493659,-3.90370893445807,3.47717844377151,-3.06144624907928,1.39151548193194,-1.76814753467324,-3.05808920054202,-1.30041358264736e-07
"boot_params.3632",3.05274084367169,-0.723216756175495,-0.641080490640273,0.0600804712795291,-0.318621845146159,-0.57432164743824,-0.38910286737237,-0.092743132619418,-0.05202937895824,-0.109138354579016,-0.00355630431529667,0.0796350801256542,0.655060531804678,-0.498918449413894,-1.02068364342373,-1.35012007075953,-3.44614969425619,-0.878134041567667,-3.06147888560731,1.79710754574632,-2.24989651754791,0.762567882631072,-1.13923172251755,-2.22250525281473,-2.81876641184168e-08
"boot_params.3633",3.05452391098737,-0.715804397931594,-0.630712892008354,0.0700208868487664,-0.31411133233669,-0.563584181062683,-0.3880493368395,-0.0809638232609376,-0.0467312104593677,-0.107358752450781,0.00851734238713688,0.0887527496701117,0.661456940896589,-0.507912575798841,-1.02461912657365,-1.35957971727687,-3.45169109926405,-0.885290581247329,-3.07026467093359,1.82980430886772,-2.25804405401845,0.780843444579018,-1.14259056613019,-2.23325728831229,-2.97360651781078e-08
