"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.2355",5.05873955270687,-0.694011398350334,-0.614749366902797,0.0411417779493753,-0.349495762223239,-0.557996069102524,-0.322356495135165,-0.103279853429996,-0.0270336913598129,-0.0751283251346143,0.0372747832158854,0.105437217875411,0.782009752819279,-2.02167554646011,-2.77479178235264,-3.15172844476036,-5.15958502741111,-2.45994025690619,-5.6933989759511,5.7081903775612,-4.44104733184004,2.20847825602703,-2.70936339540643,-4.27901830089942,-2.68294536071305e-07
"boot_params.2356",5.02442921464494,-0.725503951845794,-0.643289399288069,0.0546140637544032,-0.299581090553107,-0.570907984355993,-0.349521947848816,-0.0990846234514984,-0.0355814523876242,-0.0936309133078371,0.0360366132620485,0.106528384490672,0.841679555796502,-1.96227025998997,-2.68736030637006,-3.28437539127592,-5.18875675451974,-2.47345608124585,-4.69726660855461,5.77706980020047,-4.17233718633565,2.27012563387397,-2.65115858009155,-4.39953299543432,-2.70266780962973e-07
"boot_params.2357",5.08162660038759,-0.716231262334579,-0.56549200223316,0.0342541311342052,-0.32865523161309,-0.542156945010088,-0.364792970621006,-0.0965957333647326,-0.0301234927551789,-0.0994449672393682,0.0507449828571682,0.0885389949261321,0.824165427115981,-2.02084791193097,-2.67088275027176,-3.22001949268641,-5.32670347460544,-2.56301993906262,-5.01691253350621,5.83937019316884,-4.11448073477568,2.29028578072936,-2.80253064168113,-4.36218524499796,-2.74932682386069e-07
"boot_params.2358",4.94987000101874,-0.698557496920412,-0.61255988686857,0.0377581306797233,-0.317258010474397,-0.55775052593747,-0.337517755300972,-0.110381873976519,-0.0487545582872378,-0.0757594071130205,0.0386939505586609,0.084380677405312,0.849760020021433,-1.90150927523936,-2.57284165524705,-3.07421688280137,-4.906119744989,-2.41446207791848,-4.99332258282327,5.65525980082994,-3.92357228816828,2.22741764531253,-2.66540262620027,-4.05641140026021,-2.61676825097007e-07
"boot_params.2359",4.77205858849838,-0.744601059917416,-0.619955971990716,0.0294649374720508,-0.311872203805309,-0.544152828776168,-0.346333496608342,-0.107337384093208,-0.045249374163061,-0.107387466515706,0.0210204183359763,0.080698235627832,0.801651964442801,-1.76195798601805,-2.46765453321535,-2.95784501547018,-4.80869432877641,-2.25291556697748,-4.65897050421014,5.1978152242576,-3.92580887145449,2.03308162336694,-2.43628144687522,-3.98163884068126,-2.36123245167416e-07
"boot_params.2360",5.01301396456467,-0.690894434891358,-0.679202791426573,0.0820278739384644,-0.336266539220472,-0.562766091066196,-0.393182014162405,-0.101117390968652,-0.0392544724843643,-0.0839770961317459,0.0719596227381206,0.110474956338789,0.818651012436638,-2.00146515074413,-2.66696304711884,-3.1078854010822,-5.03241188121347,-2.40243814892302,-5.17972301972748,5.69765870635113,-4.43912579090805,2.23807596478846,-2.62501115518997,-4.13590687594227,-2.66630198240328e-07
"boot_params.2361",5.09941107234255,-0.670807335118976,-0.585612641163993,0.075997674216445,-0.362258118598787,-0.536841812507941,-0.388018694618792,-0.0589213950779574,-0.046247781125712,-0.125077491630773,0.0516490079270154,0.0965114490154516,0.89458833681196,-2.04174480996731,-2.80878600935004,-3.22640946154142,-5.3400111571555,-2.52327199752577,-5.02993283035104,5.99401064625551,-4.22320495272091,2.37298577430046,-2.66112376515547,-4.18802209278354,-2.81929603323195e-07
"boot_params.2362",5.13114066486624,-0.717337650042876,-0.599624231771405,0.0314196428159923,-0.362452044543921,-0.587989700026244,-0.340673051843583,-0.102915136951897,-0.0623547389554031,-0.0987166521572263,0.00957331059124573,0.10750496349513,0.817299106852026,-2.03540360102525,-2.77004352166352,-3.32437805898958,-5.0162312532133,-2.53565525649195,-5.06777158904845,5.92475147704785,-4.35039696213865,2.31648666157576,-2.68232096209378,-4.3294591616184,-2.7963415427725e-07
"boot_params.2363",4.91479817087771,-0.743502812010022,-0.566380070710828,0.0374017971888279,-0.331158238909552,-0.559300472556897,-0.369698045444675,-0.103351001629116,-0.0384260270406777,-0.122365881972714,0.0324202161978799,0.0901944338415567,0.825886218288942,-1.87834423283454,-2.57730158849946,-3.06711450518391,-5.28104882252655,-2.39498104892,-5.45965508705947,5.49567890010811,-4.10697325448421,2.16223492576175,-2.58859367267717,-4.05189375473388,-2.53963185968302e-07
"boot_params.2364",5.11444325545776,-0.663878862456682,-0.60840823280607,0.0428711493295228,-0.32904064639129,-0.554363315943422,-0.33929395056899,-0.112789704115759,-0.0195790293368306,-0.075226697905591,0.0226211329936102,0.106688478673855,0.844737987955034,-2.03678312383194,-2.77582570456265,-3.27705918837194,-5.48813066928128,-2.54787284853826,-5.10388612255958,5.89629156877693,-4.12941663674585,2.28959595683007,-2.71050748490225,-4.35487658250537,-2.78274199026487e-07
