"","(Intercept)","seasonSpring","seasonSummer","seasonWinter","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.8001",3.76126838172109,-0.0787805961862078,-0.542080866937019,-0.240446006934235,0.867587737214239,-2.09439944702904,-2.80789755602709,-3.26515237641794,-5.50617264962236,-2.60505328044376,-4.96998897490343,6.13373596814307,-4.45187048014285,2.42986195741155,-2.84534549838037,-4.51073066395471,-2.07531264050418
"boot_params.8002",3.65814110647023,-0.0602287717174387,-0.562177757333198,-0.239177934933811,0.813665868256247,-1.85948857253595,-2.57408275896015,-3.06021470749152,-4.79569222600143,-2.38566564377814,-4.94116456532593,5.54018831707361,-4.20976585163129,2.17111960931476,-2.60835068110448,-4.21415958084935,-1.82463799454744
"boot_params.8003",3.70650254883839,-0.0561584488049358,-0.529023073052398,-0.224682548571865,0.831732231774151,-1.98254441848843,-2.74684915079813,-3.15944534253491,-5.34857132174531,-2.49347956116267,-5.47719530413141,5.84192055800613,-4.39498854312851,2.29453223863459,-2.66726159693,-4.24174591113065,-1.95273132396801
"boot_params.8004",3.72691165898924,-0.071911497127206,-0.53977872018174,-0.235162113836221,0.824548560176568,-2.02922038344834,-2.79868401447052,-3.20908799610072,-5.25418555581056,-2.51325413830472,-4.91991897268149,5.8799508079429,-4.06836830814621,2.30619842088675,-2.71447603609231,-4.24831945921787,-1.96837490263128
"boot_params.8005",3.74295516822932,-0.0748185399058398,-0.55432249775733,-0.238636499843823,0.806915978561295,-2.04713938377709,-2.81458487998107,-3.28912958275264,-5.2454353295498,-2.54681621272276,-5.29176354760873,5.8731465326064,-4.35316487544306,2.28245099847818,-2.77311932156046,-4.45010883454997,-1.97346914465652
"boot_params.8006",3.58161132984538,-0.0493959945252173,-0.523063359811086,-0.233687660456657,0.773344724856114,-1.7412515257555,-2.46536789760302,-2.85511202575607,-5.07830309297868,-2.25903832782591,-4.58719220087026,5.062974375909,-3.97227723350644,1.97915756830606,-2.42593196503938,-3.86986919663882,-1.62728943970938
"boot_params.8007",3.67271947097106,-0.0714475563346526,-0.545700763525734,-0.241987904306491,0.804145174942134,-1.91563184859209,-2.59289397273352,-3.05700650997194,-5.42985527228167,-2.41761511969573,-4.88316412634994,5.54494656349908,-4.49684262197546,2.15940566267806,-2.5906082390498,-4.2823489846315,-1.83045800087866
"boot_params.8008",3.55556234314421,-0.0559783734776182,-0.568528337723185,-0.240506131742494,0.815911328131582,-1.72830653441861,-2.40012456442447,-2.95957468422687,-4.74970472482307,-2.23355890843236,-4.93904580101959,5.1688357646379,-4.02862374180036,2.04816910782347,-2.43725778528645,-3.96396815923138,-1.6497571210854
"boot_params.8009",3.63488560923557,-0.0726376340355251,-0.580760083950012,-0.243148689834961,0.812533533861456,-1.81577449263731,-2.51747319291171,-3.00208672113817,-5.09167219409974,-2.33414095001202,-5.36607624856747,5.39278978562202,-3.98219583066583,2.10588371388384,-2.4938377754747,-3.99164208161157,-1.75415118199725
"boot_params.8010",3.71857714271801,-0.0557654440148595,-0.579588608813873,-0.247816096260185,0.826874255684389,-2.00990864712495,-2.78263250338698,-3.14362058347864,-5.55745546601844,-2.51969288734427,-5.11891498711869,5.72513074014314,-4.43208357905786,2.23515361833691,-2.60198220319119,-4.29549919310899,-1.91068921648559
"boot_params.8011",3.68823909254467,-0.0663717572507154,-0.548556114103393,-0.23344768076374,0.773061584985158,-1.88942732506362,-2.65195912667581,-3.09973122602805,-5.45044645958232,-2.3765149175982,-5.18387756694249,5.48669541738401,-4.2420780270755,2.11319475838196,-2.64376714124599,-4.27299782381149,-1.81487744591864
