"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","980716","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","973441","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","933420","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","895532","A","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","975940","A","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","934164","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","982665","A","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","944223","A","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","941015","A","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","949888","A","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","951577","A","","","0"
"2023-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","951565","B","","","0"
"2017-01","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","199509","","","","0"
"2017-02","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","192843","","","","0"
"2017-03","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","199423","","","","0"
"2017-04","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","201039","","","","0"
"2017-05","Prince Edward Island","2016A000211","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431730","3.1.1.2.12","198471","","","","0"
