"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","903733","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","915525","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","920444","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","934566","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","913765","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","941916","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","958844","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","942387","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","967901","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","941705","B","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","September 22, 2023","Dollars","81","thousands","3","v1567104747","2.1.1.2.7","952611","A","","","0"
