"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-07","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","1211","","","","0"
"2022-08","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","57149","","","","0"
"2022-09","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","39755","","","","0"
"2022-10","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","95904","","","","0"
"2022-11","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","73682","","","","0"
"2022-12","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","55983","","","","0"
"2023-01","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","97242","","","","0"
"2023-02","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","64114","","","","0"
"2023-03","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","20609","","","","0"
"2023-04","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","41310","","","","0"
"2023-05","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","41336","","","","0"
"2023-06","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","41120","","","","0"
"2023-07","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","44591","","","","0"
"2023-08","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","106987","","","","0"
"2023-09","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","42237","","","","0"
"2023-10","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","63643","","","","0"
"2023-11","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","20668","","","","0"
"2022-01","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1274","","","","0"
"2022-02","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","33734","","","","0"
"2022-03","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","67036","","","","0"
"2022-04","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1818","","","","0"
"2022-05","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","794","","","","0"
"2022-06","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1156","","","","0"
"2022-07","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","55932","","","","0"
"2022-08","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","2311","","","","0"
"2022-09","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","57258","","","","0"
"2022-10","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","2366","","","","0"
"2022-11","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","119534","","","","0"
"2022-12","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1233","","","","0"
"2023-01","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","943","","","","0"
"2023-02","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","921","","","","0"
"2023-03","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1296","","","","0"
"2023-04","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1148","","","","0"
"2023-05","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1021","","","","0"
"2023-06","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","604","","","","0"
"2023-07","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","826","","","","0"
"2023-08","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","20944","","","","0"
"2023-09","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","24572","","","","0"
"2023-10","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1137","","","","0"
"2023-11","New Brunswick","2016A000213","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227915","5.4.17.1","1239","","","","0"
"2022-01","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","94466","","","","0"
"2022-02","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","261073","","","","0"
"2022-03","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","350368","","","","0"
"2022-04","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","228362","","","","0"
"2022-05","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","276890","","","","0"
"2022-06","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","507612","","","","0"
"2022-07","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","378586","","","","0"
"2022-08","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","358902","","","","0"
"2022-09","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","326910","","","","0"
"2022-10","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","356569","","","","0"
"2022-11","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","306536","","","","0"
"2022-12","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","297220","","","","0"
"2023-01","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","307473","","","","0"
"2023-02","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","196004","","","","0"
"2023-03","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","286937","","","","0"
"2023-04","Quebec","2016A000224","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228031","6.4.17.1","270993","","","","0"
