"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-02","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","879024","A","","","0"
"2023-03","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","920740","A","","","0"
"2023-04","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","851048","A","","","0"
"2023-05","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","899374","A","","","0"
"2023-06","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","914923","A","","","0"
"2023-07","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","849736","A","","","0"
"2023-08","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","928099","A","","","0"
"2023-09","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","889488","A","","","0"
"2023-10","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","920235","B","","","0"
"2023-11","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","893123","B","","","0"
"2023-12","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","893715","B","","","0"
"2022-01","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2017001","A","","","0"
"2022-02","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2210765","A","","","0"
"2022-03","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2312119","A","","","0"
"2022-04","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2460804","A","","","0"
"2022-05","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2471825","A","","","0"
"2022-06","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2290673","A","","","0"
"2022-07","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2477397","A","","","0"
"2022-08","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2241491","A","","","0"
"2022-09","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2051245","A","","","0"
"2022-10","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2048380","A","","","0"
"2022-11","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2157696","A","","","0"
"2022-12","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2084289","A","","","0"
"2023-01","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2206831","A","","","0"
"2023-02","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2071105","A","","","0"
"2023-03","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2014679","A","","","0"
"2023-04","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1947472","A","","","0"
"2023-05","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1955806","A","","","0"
"2023-06","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1937668","A","","","0"
"2023-07","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1978067","A","","","0"
"2023-08","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2091287","A","","","0"
"2023-09","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","2189054","A","","","0"
"2023-10","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1918335","A","","","0"
"2023-11","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1810713","A","","","0"
"2023-12","New Brunswick","2016A000213","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805166","4.1.2.1","1978348","A","","","0"
"2022-01","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","16949941","A","","","0"
"2022-02","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17442247","A","","","0"
"2022-03","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17549533","A","","","0"
"2022-04","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18280632","A","","","0"
"2022-05","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18429175","A","","","0"
"2022-06","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18309689","A","","","0"
"2022-07","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17601528","A","","","0"
"2022-08","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17012905","A","","","0"
"2022-09","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17602316","A","","","0"
"2022-10","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17930031","A","","","0"
"2022-11","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18061709","A","","","0"
"2022-12","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17964963","A","","","0"
"2023-01","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18153027","A","","","0"
"2023-02","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17817524","A","","","0"
"2023-03","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18230379","A","","","0"
"2023-04","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17703414","A","","","0"
"2023-05","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17219461","A","","","0"
"2023-06","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17122745","A","","","0"
"2023-07","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17812590","A","","","0"
"2023-08","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17561169","A","","","0"
"2023-09","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17810464","A","","","0"
"2023-10","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17796082","A","","","0"
"2023-11","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","17986302","A","","","0"
"2023-12","Quebec","2016A000224","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v805626","5.1.2.1","18275178","B","","","0"
"2022-01","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","27714250","A","","","0"
"2022-02","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30024531","A","","","0"
"2022-03","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30834243","A","","","0"
"2022-04","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31728284","A","","","0"
"2022-05","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30651394","A","","","0"
"2022-06","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30941729","A","","","0"
"2022-07","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31054727","A","","","0"
"2022-08","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30944157","A","","","0"
"2022-09","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30470934","A","","","0"
"2022-10","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30815859","A","","","0"
"2022-11","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31273531","A","","","0"
"2022-12","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31071747","A","","","0"
"2023-01","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","32752005","A","","","0"
"2023-02","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31790489","A","","","0"
"2023-03","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31650493","A","","","0"
"2023-04","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","32473597","A","","","0"
"2023-05","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","33582835","A","","","0"
"2023-06","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","33043072","A","","","0"
"2023-07","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","33153694","A","","","0"
"2023-08","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","32840842","A","","","0"
"2023-09","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","32607487","A","","","0"
"2023-10","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31167250","A","","","0"
"2023-11","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","31833944","A","","","0"
"2023-12","Ontario","2016A000235","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806086","6.1.2.1","30954858","B","","","0"
"2022-01","Manitoba","2016A000246","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806546","7.1.2.1","1845320","A","","","0"
"2022-02","Manitoba","2016A000246","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v806546","7.1.2.1","2022267","A","","","0"
