"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","0","","","","0"
"2023-11","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","149","","","","0"
"2022-01","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","499290","","","","0"
"2022-02","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","428678","","","","0"
"2022-03","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","479540","","","","0"
"2022-04","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","457802","","","","0"
"2022-05","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","472316","","","","0"
"2022-06","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","293768","","","","0"
"2022-07","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","585335","","","","0"
"2022-08","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","484161","","","","0"
"2022-09","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","376706","","","","0"
"2022-10","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","319875","","","","0"
"2022-11","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","343425","","","","0"
"2022-12","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","478587","","","","0"
"2023-01","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","586008","","","","0"
"2023-02","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","434279","","","","0"
"2023-03","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","550522","","","","0"
"2023-04","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","532354","","","","0"
"2023-05","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","580985","","","","0"
"2023-06","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","489419","","","","0"
"2023-07","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","537429","","","","0"
"2023-08","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","523778","","","","0"
"2023-09","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","337401","","","","0"
"2023-10","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","148367","","","","0"
"2023-11","New Brunswick","2016A000213","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227964","5.9.17.1","313794","","","","0"
"2022-01","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","355609","","","","0"
"2022-02","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","304220","","","","0"
"2022-03","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","342185","","","","0"
"2022-04","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","302530","","","","0"
"2022-05","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","211403","","","","0"
"2022-06","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","305559","","","","0"
"2022-07","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","283006","","","","0"
"2022-08","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","324296","","","","0"
"2022-09","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","395209","","","","0"
"2022-10","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","429287","","","","0"
"2022-11","Quebec","2016A000224","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228080","6.9.17.1","326429","","","","0"
